,Entities,Labels,Position_Start,Position_End
7578,chest excellent clinical tool diagnosis management pediatric cap contribution author contributed study conception design material preparation data collection analysis performed ri rc reg egc,DISEASE,13761,13951
7579,conflict interest author conflict interest relevant article disclose consent participate written informed consent given parent open access article licensed creative common attribution international permit use sharing adaptation distribution reproduction medium format long appropriate credit original author source provide link creative common licence,DISEASE,14202,14553
7580,httpcreat,DISEASE,14839,14848
7585,covid pandemic crohn colitis,DISEASE,971,999
7586,burden disability,DISEASE,10240,10257
7587,crohn colitis,DISEASE,13809,13822
7588,gastrointestinal biology disease,DISEASE,14779,14811
7593,covid pneumonia man early s medical history type diabetes hypertension,DISEASE,405,475
7594,leg weakness fever dry cough,DISEASE,500,528
7595,hepatomegaly generalised weakness,DISEASE,599,632
7597,chest xray admission unremarkable nasopharyngeal swab confirmed presence sarscov rna keeping,DISEASE,718,810
7606,bacterial opportunistic infection,DISEASE,1537,1570
7613,covid secondary haemophagocytic lymphohistiocytosis,DISEASE,2046,2097
7616,triglyceride cytopaenia haemophagocytosis,DISEASE,2370,2411
7618,acute deterioration,DISEASE,2598,2617
7619,chest xray change partial pressure,DISEASE,2633,2667
7622,acute respiratory distress,DISEASE,2943,2969
7627,inflammatory lung damage,DISEASE,3877,3901
7628,deranged coagulation,DISEASE,3965,3985
7629,intravascular coagulation pulmonary embolism,DISEASE,4008,4052
7631,tuberculosis hepatitis,DISEASE,4124,4146
7657,covid diabetes,DISEASE,860,874
7664,covid severe acute respiratory syndrome coronavirus sarscov identified wuhan china spread droplet transmission,DISEASE,1389,1499
7666,multiorgan failure death infected individual individual type diabetes,DISEASE,1576,1645
7668,hypertension obesity cardiovascular disease,DISEASE,1680,1723
7670,syncytial virus infection,DISEASE,1823,1848
7675,diabetes diabetic ketoacidosis,DISEASE,2028,2058
7676,diabetes newonset diabetes,DISEASE,2085,2111
7680,attention diabetes diabetes,DISEASE,2573,2600
7682,hypertension diabetes andor coronary heart disease,DISEASE,2894,2944
7684,diabetic kidney disease,DISEASE,2997,3020
7685,heart disease pneumonia lead kidney heart failure,DISEASE,3030,3079
7695,covid hospitalization critical illness,DISEASE,3715,3753
7697,covid p obese,DISEASE,4045,4058
7699,viral infection human herpes virus sars acute hyperglycemia,DISEASE,4403,4462
7720,hyperglycemia ketoacidosis,DISEASE,6687,6713
7722,diabetic covid,DISEASE,6812,6826
7726,hyperglycemia diabetes,DISEASE,7959,7981
7727,obesity aging comorbid td insulin resistance ir implicated severe,DISEASE,8127,8192
7728,covid obesity aging increase visceral abdominal fat mass resulting adipocyte hypertrophy,DISEASE,8193,8281
7730,glycemia,DISEASE,8364,8372
7740,hyperglycemia ketosis,DISEASE,9064,9085
7743,cpeptidetoglucose,DISEASE,9782,9799
7747,glycemia impaired acute covid,DISEASE,10104,10133
7749,longterm bcell hypersecretion,DISEASE,10338,10367
7762,fibrosis hypertrophy inflammation,DISEASE,11619,11652
7764,thrombosis diabetic ketoacidosis,DISEASE,11665,11697
7784,prediabetes,DISEASE,14655,14666
7785,covid diagnosis prediabetes,DISEASE,14685,14712
7795,covid newonset diabetes,DISEASE,16048,16071
7813,perspiration,DISEASE,19170,19182
7824,covid manage diabetes,DISEASE,20728,20749
7828,diabetes hyperglycemia,DISEASE,21696,21718
7829,metabolic disturbance,DISEASE,21920,21941
7838,kidney disease ischemic heart disease,DISEASE,22866,22903
7839,newonset diabetes,DISEASE,22943,22960
7842,diabetic ketoacidosis,DISEASE,23032,23053
7843,diabetes newonset diabetes covid,DISEASE,23077,23109
7844,ketosis,DISEASE,23194,23201
7845,systemic coagulation,DISEASE,23496,23516
7850,diabetes postcovid,DISEASE,23742,23760
7859,glucose dysregulation,DISEASE,25104,25125
7870,hand sanitizers abhss,DISEASE,201,222
7872,toxic allergic effect irritation,DISEASE,411,443
7874,allergic contact,DISEASE,517,533
7877,corneal inflammation edema,DISEASE,806,832
7878,ocular burn ocular chemical burn true ocular emergency causing significant damage ocular surface result permanent visual morbidity sequela,DISEASE,848,986
7881,ocular burn resulting geltype abhs aim discus risk geltype abhs inform clinician geltype abhs induce ocular chemical burn editor maya saranathan,DISEASE,1164,1308
7882,left eye pain,DISEASE,1515,1528
7885,eyelid swelling,DISEASE,1782,1797
7887,chemosis,DISEASE,1983,1991
7892,corneal epithelial defect,DISEASE,2659,2684
7893,necrotic debris,DISEASE,2707,2722
7895,corneal conjunctival,DISEASE,2819,2839
7901,corneal opacity,DISEASE,3372,3387
7903,corneal erosion syndrome,DISEASE,3558,3582
7904,pterygium,DISEASE,3592,3601
7906,corneal surface damage corneal,DISEASE,3634,3664
7908,corneal inflammation,DISEASE,3807,3827
7912,ocular burn alcohol,DISEASE,4176,4195
7916,ocular irritation,DISEASE,4389,4406
7917,epithelial defect geltype abhs higher viscosity cause longer exposure ocular tissue,DISEASE,4419,4502
7918,corneal conjunctival epithelial defect,DISEASE,4676,4714
7924,corneal edema ethanol,DISEASE,5237,5258
7927,extensive defect corneal,DISEASE,5364,5388
7929,dysfunction damage limbal stem cell fact,DISEASE,5434,5474
7931,corneal endothelial injury,DISEASE,5834,5860
7934,ocular burn geltype abhs delayed epithelial healing process clinical attention warranted slow recovery,DISEASE,6038,6140
7935,amblyopia,DISEASE,6240,6249
7938,ocular burn,DISEASE,6636,6647
7940,infected novel coronavirus disease increase number death,DISEASE,15,71
7948,lung disease death,DISEASE,982,1000
7951,cardiovascular diseaseshypertension diabetes shahid,DISEASE,1327,1378
7952,functional dependency,DISEASE,1568,1589
7956,coronavirus fear infection,DISEASE,1915,1941
7970,coronavirus consequence stress anxiety,DISEASE,6200,6238
7972,infected coronavirus,DISEASE,6359,6379
7976,fear manage chronic acute physical mental problem outbreak coronavirus,DISEASE,7264,7334
7978,aortic stenosis,DISEASE,0,15
7979,heart valve disease,DISEASE,23,42
7981,coronary stenosis,DISEASE,153,170
7982,hypertension hyperlipidemia,DISEASE,349,376
7984,aortic valve disease,DISEASE,634,654
7985,coronary disease,DISEASE,759,775
7987,myocardial ischemia,DISEASE,1190,1209
7988,ventricular dysfunction,DISEASE,1215,1238
7989,calcification tortuosity,DISEASE,1361,1385
7991,obstructive cad diameter stenosis,DISEASE,2154,2187
7992,obstructive cad suboptimal specificity largely,DISEASE,2491,2537
7997,obstructive cad considered subsequent reduction resource utilization avoidance exposing patient risk invasive coronary angiography outcome strategy assessed cohort chieffo showing selection patient following ctca undergo invasive coronary angiography suspicious coronary lesion,DISEASE,2870,3147
7998,chest pain,DISEASE,3421,3431
7999,angina,DISEASE,3522,3528
8000,absence obstructive cad angina absence significant obstructive cad likely left,DISEASE,3597,3675
8001,ventricular hypertrophy,DISEASE,3676,3699
8003,impaired myocardial perfusion microvascular dysfunction,DISEASE,3735,3790
8007,left ventricular enddiastolic pressure left,DISEASE,4458,4501
8011,coronary obstruction,DISEASE,4750,4770
8013,reduced microvascular vasodilatation impaired extravascular compression,DISEASE,6135,6206
8014,hypertrophy fibrosis,DISEASE,6278,6298
8015,aortic valve obstruction,DISEASE,6331,6355
8018,coronary lesion,DISEASE,6879,6894
8019,coronary lesion abnormal,DISEASE,7176,7200
8021,valvular obstruction,DISEASE,8919,8939
8024,myocardial revascularization coronary artery bypass graft cabg time surgical aortic valve replacement savr class recommendation presence stenosis,DISEASE,10731,10876
8026,kotronias,DISEASE,11258,11267
8027,valvular heart disease,DISEASE,11489,11511
8028,artery diameter stenosis,DISEASE,11553,11577
8029,vascular complication,DISEASE,13420,13441
8037,left main disease,DISEASE,14150,14167
8040,cardiac cerebrovascular,DISEASE,15614,15637
8046,epicardial coronary disease,DISEASE,17544,17571
8048,balloon aortic valvuloplasty andor mechanical circulatory support,DISEASE,18303,18368
8050,coronary complication,DISEASE,18694,18715
8052,vascular injury bleeding,DISEASE,19114,19138
8053,myocardial ischaemia,DISEASE,19226,19246
8055,coronary occlusion,DISEASE,19431,19449
8056,balloon aortic valvuloplasty plusminus mechanical circulatory support,DISEASE,19650,19719
8058,myocardial revascularization valve implantation,DISEASE,20345,20392
8059,myocardial afterload decrease,DISEASE,20793,20822
8063,valve supraannular position coronary ostia impede coronary access especially neocommissure lie coronary ostium balloonexpandable valve shorter height compared selfexpandable valve stentcells upper row larger allowing easier access coronary ostia feasibility coronary ostia cannulation,DISEASE,21883,22167
8071,death disabling,DISEASE,26377,26392
8074,chronic renal disease,DISEASE,26779,26800
8085,juvenile idiopathic arthritis hemophagocytic lymphohistiocytosis multisystem inflammatory syndrome,DISEASE,422,520
8088,kawasaki disease kawasaki disease shock syndrome,DISEASE,685,733
8090,paris,DISEASE,789,794
8098,autoimmune autoinflammatory illness,DISEASE,2376,2411
8099,cardiac gastrointestinal tract,DISEASE,2654,2684
8101,sjogren syndrome,DISEASE,2811,2827
8104,kawasaki disease kawasaki disease shock,DISEASE,3114,3153
8105,peripheral edema rash extremity pain gastrointestinal distress,DISEASE,3228,3290
8107,fever gastrointestinal symptom vomiting abdominal pain diarrhea,DISEASE,3505,3568
8108,rash conjunctivitis swollen,DISEASE,3579,3606
8109,hand foot uk riollanocruz colleague described child,DISEASE,3607,3658
8110,hypotensive,DISEASE,3659,3670
8113,cardiogenic shock mucocutaneous,DISEASE,4111,4142
8115,hypotensive shock conjunctivitis cardiac dysfunction mucocutaneous,DISEASE,4338,4404
8118,thrombocytopenia hypoalbuminemia hyponatremia leukocytosis neutrophilia lymphopenia,DISEASE,4819,4902
8119,arrythmias,DISEASE,5079,5089
8120,cardiac ventricular dysfunction,DISEASE,5090,5121
8121,artery aneurysm,DISEASE,5131,5146
8122,artery dilation,DISEASE,5156,5171
8124,vessel vasculitis,DISEASE,5318,5335
8130,liver joint lung central nervous system gastrointestinal tract,DISEASE,5683,5745
8135,kawasaki disease shock,DISEASE,6041,6063
8152,platelet aggregation kawasaki disease,DISEASE,7156,7193
8175,unresolving,DISEASE,9019,9030
8177,thrombocytopenia unresolving,DISEASE,9089,9117
8184,shock syndrome kawasaki disease,DISEASE,9813,9844
8189,presenting active crohn disease,DISEASE,10382,10413
8190,hypotension tachycardia,DISEASE,10491,10514
8202,fever tachycardia,DISEASE,11437,11454
8205,shock kawasaki disease,DISEASE,11676,11698
8209,artery abnormality,DISEASE,11921,11939
8210,rheumatologic disorder juvenile idiopathic arthritis,DISEASE,12040,12092
8212,rheumatologic pathology viral infection,DISEASE,12397,12436
8213,rheumatologic disease,DISEASE,12445,12466
8215,rheumatologic entity child adolescent sle,DISEASE,12518,12559
8217,chilblain antiphospholipid syndrome,DISEASE,12573,12608
8218,rheumatologic manifestation aide improving patient care expanding differential diagnosis enhance treatment plan consider,DISEASE,12661,12781
8220,newonset rheumatologic disease,DISEASE,12827,12857
8224,hyperferritinemic syndrome,DISEASE,13238,13264
8226,lupus erythematous relapsing,DISEASE,13556,13584
8227,chronic multisystemic autoimmune disorder,DISEASE,13595,13636
8229,autism panic disorder,DISEASE,13823,13844
8231,antiphospholipid syndrome,DISEASE,13878,13903
8233,cough fever,DISEASE,13950,13961
8234,respiratory symptom pericardial effusion fatigue,DISEASE,13968,14016
8235,cardiac arrest rosc,DISEASE,14060,14079
8237,kidney failure lymphopenia anemia proteinuria hematuria,DISEASE,14230,14285
8239,venous thromboses thrombocytopenia,DISEASE,14539,14573
8240,covid sle decrease t helper cell type response,DISEASE,14695,14741
8241,heightened autoreactivity helper cytotoxic t cell bcell differentiation concept changing t helper cell type response t helper cell type response owing autoreactivity autoantibody,DISEASE,14892,15070
8242,purpuric violaceousedematous lesion cyanotic area toe hand finger measuring mm diameter outbreak chilblainlike lesion,DISEASE,15205,15322
8245,primary chilblain,DISEASE,15932,15949
8246,chilblain autoimmune disorder,DISEASE,15960,15989
8249,hand lesion,DISEASE,16271,16282
8250,pain pruritis,DISEASE,16296,16309
8252,microvascular injury,DISEASE,16635,16655
8253,chilblain retinal vasculitis,DISEASE,16661,16689
8255,retinal vasculitis,DISEASE,16834,16852
8258,cryofibrinogenemia,DISEASE,17209,17227
8260,antinuclear antibody antiphospholipid antibody,DISEASE,17419,17465
8262,connective tissue disorder,DISEASE,17657,17683
8266,respiratory distress headache fever,DISEASE,17990,18025
8272,gastrointestinal infection,DISEASE,18708,18734
8274,urticaria,DISEASE,18859,18868
8275,swelling pain,DISEASE,18873,18886
8276,knee right elbow morning stiffness pain,DISEASE,18897,18936
8277,warmth tenderness swelling,DISEASE,18984,19010
8283,kawasakilike disease multisystem inflammatory syndrome,DISEASE,19496,19550
8284,lifethreatening symptom common case,DISEASE,19564,19599
8288,hyperinflammation syndrome,DISEASE,19731,19757
8290,rheumatologic manifestation,DISEASE,19847,19874
8292,covid newonset rheumatologic disease,DISEASE,20011,20047
8304,congestive heart failure diabetes mellitus,DISEASE,2163,2205
8306,renal disease solidorgan,DISEASE,2239,2263
8307,hematologic malignancy,DISEASE,2264,2286
8308,neurological derangement,DISEASE,2506,2530
8312,acute myeloid leukemia gastrointestinal bleeding,DISEASE,2773,2821
8315,acute myeloid leukemia,DISEASE,4224,4246
8316,status hepatic encephalopathy,DISEASE,4262,4291
8318,heart failure pulmonary embolism,DISEASE,4332,4364
8321,acute myeloid leukemia aml based peripheral blood smear,DISEASE,5119,5174
8324,sore,DISEASE,5419,5423
8333,status critically ill,DISEASE,8025,8046
8334,adverse psychological stress depression delirium anxiety,DISEASE,8255,8311
8336,peripheral neurologic complication,DISEASE,19,53
8338,respiratory syndrome coronavirus sarscov ongoing global health emergency evaluated twentyfive patient admitted covid recovery unit cru new yorkpresbyterian weill cornell university medical center intensive care hospitalization confirmed severe acute respiratory syndrome coronavirus sarscov neurology consulted,DISEASE,104,414
8339,andor paresthesia,DISEASE,424,441
8342,peripheral neuropathy entrapment neuropathy,DISEASE,811,854
8343,peripheral neurologic cause symptom patient peripheral neurological complication,DISEASE,869,949
8344,plexopathies,DISEASE,996,1008
8345,entrapment neuropathy case,DISEASE,1014,1040
8346,peripheral neuropathy,DISEASE,1041,1062
8347,cranial neuropathy sciatic neuropathy multiple mononeuropathy neurological complication coronavirus disease,DISEASE,1072,1179
8348,pandemic encephalitis ischemic stroke,DISEASE,1186,1223
8349,inflammatory demyelinating polyneuropathy,DISEASE,1230,1271
8350,peripheral neurological complication,DISEASE,1308,1344
8352,acute respiratory syndrome coronavirus sarscov neurology consulted,DISEASE,1710,1776
8359,microthrombotic induced nerve ischemia,DISEASE,2704,2742
8364,flood,DISEASE,1136,1141
8369,covid lowresource fragile setting current study took place de martino hospital principal covid quarantine hospital mogadishu somalia country capital city early period pandemic march june included cohort patient admitted,DISEASE,3038,3257
8379,muscular pain chest pain abdominal pain,DISEASE,4673,4712
8381,weakness diarrhea cough nausea vomiting sore,DISEASE,4732,4776
8383,nose irritability confusion,DISEASE,4799,4826
8385,abnormal lung xray conjunctival infection dyspnea tachypnea seizure abnormal lung auscultation comorbidities reported patient cardiovascular disease,DISEASE,4887,5035
8386,hypertension immunodeficiency including hiv diabetes renal disease,DISEASE,5046,5112
8396,abdominal pain diarrhea runny nose muscular joint pain,DISEASE,7160,7214
8398,coma conjunctival infection seizure,DISEASE,7296,7331
8401,cardiovascular disease diabetes cardiovascular disease,DISEASE,7605,7659
8407,oxygen impairment level mmhg paofio mmhg positive endexpiratory pressure continuous positive airway pressure cmho nonventilated fmoh table show survival probability ci day admission age group sex presence cardiovascular disease diabetes,DISEASE,8118,8354
8436,discomfort death,DISEASE,13084,13100
8463,hematologic oncologic disease metabolic neurologic cardiac renal disease,DISEASE,375,447
8466,endocarditis,DISEASE,1332,1344
8467,bacteremia fungemia,DISEASE,1391,1410
8468,shock infection,DISEASE,1514,1529
8477,toxic effect antiinfective drug immature detoxification system exceptionally benefit quicker sensitive diagnostic tool needing ml patient blood prospective observational noninterventional multicenter study diagnostic use ng neonate dd n infant d yr n toddler,DISEASE,2969,3227
8490,heidelberg university heidelberg germany institute medical biometry informatics,DISEASE,5264,5343
8520,cardiovascular organ dysfunction,DISEASE,6818,6850
8536,oliguria,DISEASE,7784,7792
8537,absence cyanotic heart disease,DISEASE,7901,7931
8549,inflammatory infectious process lung prevents,DISEASE,8930,8975
8556,simplex,DISEASE,10776,10783
8561,xanthomonas,DISEASE,12712,12723
8564,oncologic hematologic disease metabolic neurological disorder lung kidney dysfunction,DISEASE,14064,14149
8568,dobutamine dopamine,DISEASE,14847,14866
8582,heidelberg university heidelberg germany keeping close contact respective site investigator email telephone video apps monitor ensure,DISEASE,18467,18600
8584,disability incapacity,DISEASE,19090,19111
8587,impaired underlying disease,DISEASE,20241,20268
8588,blood loss,DISEASE,20324,20334
8604,toxic effect antiinfective drug ng help decrease therapyassociated risk effect taken ng potential disruptive innovation,DISEASE,23861,23980
8606,bacteremia sepsis,DISEASE,24123,24140
8610,acute respiratory syndrome coronavirus sarscov usually mild,DISEASE,34,93
8612,toxic shock syndrome,DISEASE,279,299
8618,neurocognitive sign respiratory symptom lymphadenopathy,DISEASE,771,826
8621,andor multisystem,DISEASE,890,907
8629,systemic juvenile idiopathic arthritis,DISEASE,2214,2252
8635,cough chest pain,DISEASE,2554,2570
8638,rash conjunctivitis lymphadenopathy fever,DISEASE,2631,2672
8642,diarrhea vomiting rash,DISEASE,2779,2801
8645,abdomen arm leg patient oligoarticular jia pn developed,DISEASE,2912,2967
8646,hypertension seizure,DISEASE,2968,2988
8648,complaint fever,DISEASE,3192,3207
8650,neutrophilia,DISEASE,3305,3317
8659,abnormal coagulation,DISEASE,4310,4330
8665,fever abdominal pain,DISEASE,4847,4867
8668,systemic jia disease,DISEASE,5064,5084
8673,diarrhea nausea,DISEASE,5637,5652
8674,lower respiratory tract infection cough dyspnea,DISEASE,5715,5762
8680,thrombocytopenia lymphocytopenia,DISEASE,6204,6236
8681,ddimer characteristic disease,DISEASE,6242,6271
8686,offtumor,DISEASE,378,386
8687,glomerulopathy,DISEASE,432,446
8690,nonalcoholic liver cirrhosis,DISEASE,680,708
8691,liver cirrhosis,DISEASE,924,939
8693,aplasia,DISEASE,1228,1235
8695,neurotoxicity,DISEASE,1332,1345
8696,fever hypotension tachycardia hypoxia,DISEASE,1570,1607
8697,pancytopenia hypertriglyceridemia,DISEASE,1865,1898
8702,oliguria anasarca,DISEASE,2347,2364
8703,weight gain,DISEASE,2374,2385
8707,hydronephrosis,DISEASE,2722,2736
8709,hypoglobulinemia hypoalbuminemia,DISEASE,2856,2888
8710,albuminuria,DISEASE,2973,2984
8711,oligoclonal band lupus serologic test hiv parvovirus b epsteinbarr virus polymerase chain reaction,DISEASE,3000,3098
8712,cryoglobulin hepatitis viral panel result negative nasopharyngeal severe acute respiratory syndrome coronavirus sarscov polymerase chain reaction,DISEASE,3099,3244
8716,nephrotoxic,DISEASE,3484,3495
8717,mesangial expansion glomerular margination,DISEASE,3539,3581
8718,interstitial inflammation,DISEASE,3725,3750
8730,toxicity infection tumor,DISEASE,5024,5048
8735,pulmonary hepatic dysfunction,DISEASE,5316,5345
8736,increase greater disease,DISEASE,5434,5458
8737,bcell lymphoma,DISEASE,5941,5955
8745,secondary hemophagocytic lymphohistiocytosis spectrum severe,DISEASE,6809,6869
8748,proteinuria nephrotic syndrome,DISEASE,7184,7214
8749,paraneoplastic nephrotic syndrome,DISEASE,7285,7318
8752,idiopathic nephrotic syndrome,DISEASE,7629,7658
8764,amyloidosis,DISEASE,8687,8698
8767,interstitial nephritis,DISEASE,8787,8809
8768,tubulointerstitial injury,DISEASE,8917,8942
8769,interstitial injury,DISEASE,9008,9027
8772,cytokine tumor necrosis,DISEASE,9474,9497
8777,renal toxicity,DISEASE,10001,10015
8782,maculopapular exanthem urticarial vesicularbullous perniosis ecchymosispurpura livedo,DISEASE,411,496
8783,acral ischemiagangrene maculopapular rash enanthem,DISEASE,509,559
8784,recentonset skin eruption,DISEASE,1288,1313
8789,maculopapular exanthem livedo,DISEASE,2880,2909
8790,bedsore dermatitis,DISEASE,3050,3068
8792,palmar livedo,DISEASE,3412,3425
8798,thrombocytopenia maculopapular exanthem,DISEASE,4166,4205
8800,n livedo,DISEASE,4216,4224
8801,perniosis,DISEASE,4290,4299
8804,livedo reticularis ischemia,DISEASE,4367,4394
8806,ecchymosis,DISEASE,4481,4491
8807,urticarial lesion,DISEASE,4596,4613
8808,herpes labialis,DISEASE,4666,4681
8809,dermatitis,DISEASE,4704,4714
8810,xerosis,DISEASE,4725,4732
8811,vitiligo,DISEASE,4812,4820
8813,covid contrary disease,DISEASE,4964,4986
8816,low disease,DISEASE,5475,5486
8819,perivascular lymphocytic infiltration papillary dermis consistent lymphocytic vasculitis,DISEASE,6030,6118
8820,hypergranulosis perivascular lymphocytic infiltration,DISEASE,6177,6230
8823,orthokeratosis,DISEASE,6445,6459
8824,perivascular lymphocytic infiltration,DISEASE,6721,6758
8825,acanthosis,DISEASE,6866,6876
8827,hyperkeratosis,DISEASE,7050,7064
8835,critical disease,DISEASE,8182,8198
8836,respiratory virus reduced,DISEASE,8235,8260
8837,covid example clexaneinduced,DISEASE,8312,8340
8840,immunemediated reaction virus genetically predisposed individual ecchymosispurpura majority patient,DISEASE,8656,8755
8842,thrombocytopenia clexane,DISEASE,9132,9156
8845,vascular damage,DISEASE,9334,9349
8853,primary manifestation disease,DISEASE,10283,10312
8854,vascular occlusion,DISEASE,10340,10358
8855,anomaly vascular damage,DISEASE,10384,10407
8857,dermal vessel congestion,DISEASE,10446,10470
8860,hyperkeratosis epidermal hyperplasia hypergranulosis perivascular lymphocytic infiltration,DISEASE,10611,10701
8864,gangrene,DISEASE,11666,11674
8866,vasculitis hypercoagulable,DISEASE,11892,11918
8873,covid perniosis ischemia livedo,DISEASE,14030,14061
8874,reticularis ecchymosispurpura frequent severeexplosive case manifestation,DISEASE,14062,14135
8875,exanthem,DISEASE,14177,14185
8879,acute respiratory syndrome coronavirus sarscov initially hypothesized drug useful management covid,DISEASE,196,294
8884,torsades de pointes tdp,DISEASE,930,953
8890,ventricular arrhythmic,DISEASE,2345,2367
8893,ventricular arrhythmia tdp sudden cardiac death atrioventricular block atrioventricular block,DISEASE,3266,3359
8895,ventricular arrhythmia tdp sudden cardiac death atrioventricular block,DISEASE,4145,4215
8896,ventricular arrhythmia tdp sudden cardiac death,DISEASE,5049,5096
8910,tdp,DISEASE,7928,7931
8916,sudden cardiac death,DISEASE,8284,8304
8918,atrioventricular block,DISEASE,8424,8446
8932,tdp blockage,DISEASE,10707,10719
8948,atrioventricular block covid patient case,DISEASE,12726,12767
8951,human immunodeficiency virus drug shown favorable clinical response patient severe acute respiratory syndrome,DISEASE,12912,13021
8954,hypocalcemia hypokalemia hypomagnesemia,DISEASE,13991,14030
8958,pneumonia solidorgan,DISEASE,340,360
8960,venous thromboembolic disease vte,DISEASE,1103,1136
8966,obesity hypertension diabetes heart failure,DISEASE,2343,2386
8967,peripheral vascular disease cerebrovascular disease,DISEASE,2387,2438
8969,lung disease cancer,DISEASE,2470,2489
8982,critically ill sot recipient difference,DISEASE,4382,4421
8992,cancer type stage,DISEASE,594,611
8994,type malignancy,DISEASE,1041,1056
8997,ambulatory cancer,DISEASE,1497,1514
9001,cancerassociated thrombosis,DISEASE,2274,2301
9010,lung haematological malignancy,DISEASE,4529,4559
9012,lung carcinoma,DISEASE,4725,4739
9014,organ malignancy,DISEASE,4856,4872
9017,tumour,DISEASE,5594,5600
9023,colon lung ovarian breast cancer,DISEASE,6287,6319
9025,treatmentassociated,DISEASE,6487,6506
9039,compasscat score lung carcinoma,DISEASE,7410,7441
9044,lung malignancy,DISEASE,7678,7693
9048,lung adenocarcinoma,DISEASE,7995,8014
9056,malignancy thrombosis,DISEASE,8669,8690
9058,retroperitoneal lymphadenopathy,DISEASE,8930,8961
9059,cm metastatic disease,DISEASE,8967,8988
9066,lymphoma multiple myeloma,DISEASE,9665,9690
9072,acute myelocytic leukemia aml,DISEASE,10007,10036
9073,thrombosis andor pulmonary embolism,DISEASE,10111,10146
9076,acute myeloid leukaemia,DISEASE,10224,10247
9077,promyelocytes acute lymphocytic leukemia,DISEASE,10351,10391
9083,cohort leukemia,DISEASE,10932,10947
9092,tumour aggressive lymphoma,DISEASE,11947,11973
9098,lymphoma haematological malignancy example ram lymphoma,DISEASE,12473,12528
9115,urothelial haematological malignancy onkotev score khorana score modification better performance easy applicability share limitation kr addition genetic factor stratify patient promising,DISEASE,14346,14532
9132,multiple myeloma,DISEASE,16638,16654
9133,aml acute myeloid leukaemia apl acute promyelocytic leukaemia acute lymphoblastic leukaemia nhl nonhodgkin lymphoma hl hodgkin lymphoma,DISEASE,16837,16972
9138,barotrauma,DISEASE,358,368
9142,barotrauma covid postviral pneumonia,DISEASE,500,536
9146,hypertension parkinson disease dementia hyperlipidemia,DISEASE,901,955
9149,chronic obstructive pulmonary disease copd emphysema,DISEASE,1149,1201
9153,chest xray obtained ed,DISEASE,1589,1611
9154,bibasilar opacity,DISEASE,1625,1642
9158,oxygen desaturation,DISEASE,1912,1931
9160,collapse left lung mediastinal shift inpatient pulmonary service,DISEASE,2003,2067
9164,chest xray pneumothorax,DISEASE,2495,2518
9175,pulmonary cyst rupture,DISEASE,3841,3863
9177,copd emphysema cystic fibrosis tuberculosis lung cancer pneumocystis carinii pneumonia lymphangioleiomyomatosis,DISEASE,3936,4047
9178,langerhans cell histiocytosis covid,DISEASE,4048,4083
9179,pulmonary cyst,DISEASE,4530,4544
9182,pneumothorax pneumomediastinum macklin effect,DISEASE,4745,4790
9183,glottis result alveolar rupture,DISEASE,4842,4873
9184,pneumothorax pneumomediastinum,DISEASE,4906,4936
9185,emphysema coughing sneezing vomiting valsalva maneuver,DISEASE,4950,5004
9186,pneumomediastinum,DISEASE,5028,5045
9195,emphysema copd,DISEASE,5526,5540
9199,pleural bleb,DISEASE,5803,5815
9200,ruptured excessive coughing according macklin effect explaining patient,DISEASE,5823,5894
9204,chest trauma,DISEASE,6037,6049
9211,covid damaged lung worsening condition lung parenchyma forming,DISEASE,6459,6521
9212,acute respiratory syndrome coronavirus sarscov emerged china december shortly spread worldwide according john hopkins coronavirus resource center july million patient million,DISEASE,7,181
9214,cough fever myalgia headache dyspnea sore throat diarrhea loss smell taste respiratory,DISEASE,251,337
9215,myocardial infarction myocarditis pericarditis pulmonary embolism stroke encephalitis guillainbarre syndrome rhabdomyolysis,DISEASE,406,529
9217,rhabdomyolysis,DISEASE,605,619
9218,myalgia weakness,DISEASE,648,664
9227,chest xray cxr showed patchy,DISEASE,1515,1543
9239,rhabdomyolysis muscle pain,DISEASE,2613,2639
9240,muscular symptom,DISEASE,2680,2696
9244,renal injury,DISEASE,3031,3043
9251,alcohol drug abuse,DISEASE,3323,3341
9252,trauma epileptic seizure,DISEASE,3353,3377
9254,muscle ischemia,DISEASE,3462,3477
9256,fungal parasitic infection,DISEASE,3506,3532
9259,coxsackievirus epsteinbarr virus cytomegalovirus herpes simplex virus human immunodeficiency virus adenovirus echovirus hepatitis b c influenza virus common,DISEASE,3635,3791
9263,covid rhabdomyolysis,DISEASE,4018,4038
9266,rhabdomyolysis myalgia weakness,DISEASE,4181,4212
9268,covid cause muscle damage,DISEASE,4387,4412
9269,viral myositis,DISEASE,4443,4457
9270,muscle tissue virus immunologic process,DISEASE,4484,4523
9271,virus result muscle damage,DISEASE,4532,4558
9284,decline cancer,DISEASE,111,125
9298,abdominal pelvic infection cancer,DISEASE,954,987
9303,infection influenza gastroenteritis hepatitis pneumonia,DISEASE,1263,1318
9310,organ malignancy carcinoma sarcoma,DISEASE,1564,1598
9314,lymphoma chronic lymphocytic leukemia,DISEASE,1736,1773
9315,acute myeloid leukemia neutropenia,DISEASE,1778,1812
9316,bone marrow infiltration,DISEASE,1822,1846
9320,infection cancer,DISEASE,2071,2087
9321,tumor carcinoma sarcoma,DISEASE,2103,2126
9322,genitourinary hepatobiliary infection vascular occlusion,DISEASE,2146,2202
